모델명,제조사,유종,배기량,변속형식,A,등급,B,자동차유형
레이(20MY) 1.0 가솔린 밴형 14인치 타이어,기아,휘발유,998,자동4,13,경형,127,일반형
레이(20MY) 1.0 가솔린 14인치 타이어,기아,휘발유,998,자동4,13,경형,127,일반형
쏘나타(DN8) 2.0CVVL_18인치타이어,현대,휘발유,1999,자동6,13,3등급,129,일반형
K5(JF) 1.6T-GDI 개조차_16인치 타이어 (15),기아,휘발유,1591,자동7,13,3등급,127,일반형
"레이 1.0가솔린 밴형 (PE, 14인치 타이어)",기아,휘발유,998,자동4,13,경형,127,일반형
"레이 1.0가솔린 (PE, 14인치 타이어)",기아,휘발유,998,자동4,13,경형,127,일반형
트레일블레이저 1.35 TURBO FWD,한국지엠,휘발유,1341,무단변속,12.9,3등급,129,다목적형
"SM6 1.3 (19"" Tire)",르노삼성,휘발유,1332,자동7,12.9,3등급,128,일반형
쏘나타(DN8) 2.0CVVL_17인치타이어_21MY,현대,휘발유,1999,자동6,12.9,3등급,129,일반형
트레일블레이저 1.35 TURBO FWD,한국지엠,휘발유,1341,무단변속,12.9,3등급,131,다목적형
K5(DL3) 1.6T-GDI_19인치타이어,기아,휘발유,1598,자동8,12.9,3등급,130,일반형
Altima 2.5,닛산,휘발유,2488,무단변속,12.9,3등급,131,일반형
코나(OS PE) 2.0 가솔린 2WD_18인치타이어,현대,휘발유,1999,무단변속,12.8,3등급,131,다목적형
K5(DL3) 2.0CVVL_17인치(빌트인캠),기아,휘발유,1999,자동6,12.8,3등급,130,일반형
아반떼 1.6 T-GDI 7DCT 18인치 타이어,현대,휘발유,1598,자동7,12.8,3등급,130,일반형
쏘나타(DN8) 2.0CVVL_18인치타이어_21MY,현대,휘발유,1999,자동6,12.8,3등급,130,일반형
쏘나타(DN8) 2.0CVVL_17인치타이어(빌트인캠)_21MY,현대,휘발유,1999,자동6,12.8,3등급,130,일반형
쏘나타(DN8) 1.6 T-GDI_19인치타이어,현대,휘발유,1598,자동8,12.8,3등급,131,일반형
Altima 2.5,닛산,휘발유,2488,무단변속,12.8,3등급,132,일반형
K5 1.6T-GDI 개조차_17인치 타이어 (15),기아,휘발유,1591,자동7,12.8,3등급,130,일반형
"스토닉 1.4 가솔린 6AT (15""타이어) (15)",기아,휘발유,1368,자동6,12.8,3등급,130,기타형
"코나 1.6T-GDI 2WD (16""타이어) (15)",현대,휘발유,1591,자동7,12.8,3등급,128,다목적형
렉서스 RX450h,토요타,휘발유,3456,무단변속,12.8,3등급,129,다목적형
코나(PE) 1.6T-GDI 2WD 18인치타이어,현대,휘발유,1598,자동7,12.7,3등급,131,다목적형
Mercedes-Benz A 220 Sedan,벤츠,휘발유,1991,자동7,12.7,3등급,135,일반형
K5(DL3) 2.0CVVL_18인치타이어,기아,휘발유,1999,자동6,12.7,3등급,132,일반형
레이(20MY) 1.0 가솔린 15인치 타이어,기아,휘발유,998,자동4,12.7,경형,131,일반형
"셀토스 1.6T-GDI 2WD (16"" 타이어)",기아,휘발유,1591,자동7,12.7,3등급,132,다목적형
"레이 1.0가솔린 (PE, 15인치 타이어)",기아,휘발유,998,자동4,12.7,경형,130,일반형
트레일블레이저 1.35 TURBO FWD,한국지엠,휘발유,1341,무단변속,12.6,3등급,133,다목적형
K5(DL3) 1.6T-GDI_19인치(빌트인캠),기아,휘발유,1598,자동8,12.6,3등급,132,일반형
쏘나타(DN8) 2.0CVVL_18인치타이어(빌트인캠)_21MY,현대,휘발유,1999,자동6,12.6,3등급,133,일반형
트레일블레이저 1.2 TURBO FWD,한국지엠,휘발유,1199,무단변속,12.6,3등급,135,다목적형
쏘나타(DN8) 1.6 T-GDI_19인치(빌트인캠),현대,휘발유,1598,자동8,12.6,3등급,134,일반형
CR-V 2WD,혼다,휘발유,1498,무단변속,12.6,3등급,132,다목적형
"스토닉 1.4 가솔린 6AT 19MY (17""타이어) (15)",기아,휘발유,1368,자동6,12.6,3등급,132,기타형
"스토닉 1.4 가솔린 6AT (17""타이어) (15)",기아,휘발유,1368,자동6,12.6,3등급,132,기타형
벨로스터 1.6T-GDI 6MT (ALL SEASON TIRE),현대,휘발유,1591,수동6,12.6,3등급,132,일반형
